service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Sat,0,0,0,0,0,1,0,20251129,20251229
Wed-Thu-Fri-Sat,0,0,1,1,1,1,0,20251129,20251229
Wed-Sat,0,0,1,0,0,1,0,20251129,20251229
Tue-Thu-Sat-Sun,0,1,0,1,0,1,1,20251129,20251229
Tue-Wed-Sat,0,1,1,0,0,1,0,20251129,20251229
Tue-Thu-Fri-Sun,0,1,0,1,1,0,1,20251129,20251229
Tue-Thu-Fri-Sat,0,1,0,1,1,1,0,20251129,20251229
Mon-Tue-Wed-Fri-Sat,1,1,1,0,1,1,0,20251129,20251229
Mon-Fri,1,0,0,0,1,0,0,20251129,20251229
Fri-Sat,0,0,0,0,1,1,0,20251129,20251229
Tue-Fri-Sat-Sun,0,1,0,0,1,1,1,20251129,20251229
Mon-Sat-Sun,1,0,0,0,0,1,1,20251129,20251229
Mon-Tue-Thu-Sun,1,1,0,1,0,0,1,20251129,20251229
Mon-Tue-Wed,1,1,1,0,0,0,0,20251129,20251229
Mon-Tue-Wed-Thu-Fri-Sat-Sun,1,1,1,1,1,1,1,20251129,20251229
Tue-Sun,0,1,0,0,0,0,1,20251129,20251229
Mon-Tue-Sun,1,1,0,0,0,0,1,20251129,20251229
Tue-Sat-Sun,0,1,0,0,0,1,1,20251129,20251229
Mon-Wed-Thu,1,0,1,1,0,0,0,20251129,20251229
Tue-Wed-Fri-Sat-Sun,0,1,1,0,1,1,1,20251129,20251229
Tue-Thu-Fri,0,1,0,1,1,0,0,20251129,20251229
Tue-Fri-Sun,0,1,0,0,1,0,1,20251129,20251229
Tue-Wed-Fri-Sat,0,1,1,0,1,1,0,20251129,20251229
Mon-Tue-Wed-Sat,1,1,1,0,0,1,0,20251129,20251229
Thu-Sat-Sun,0,0,0,1,0,1,1,20251129,20251229
Mon-Tue-Fri-Sat-Sun,1,1,0,0,1,1,1,20251129,20251229
Mon-Tue-Wed-Thu-Fri-Sat,1,1,1,1,1,1,0,20251129,20251229
Mon-Wed,1,0,1,0,0,0,0,20251129,20251229
Mon-Thu-Sun,1,0,0,1,0,0,1,20251129,20251229
Wed-Thu-Sat-Sun,0,0,1,1,0,1,1,20251129,20251229
Mon-Thu-Fri-Sun,1,0,0,1,1,0,1,20251129,20251229
Mon-Wed-Sun,1,0,1,0,0,0,1,20251129,20251229
Mon-Tue-Thu-Fri-Sat,1,1,0,1,1,1,0,20251129,20251229
Tue,0,1,0,0,0,0,0,20251129,20251229
Mon-Fri-Sun,1,0,0,0,1,0,1,20251129,20251229
Mon-Tue-Thu-Fri,1,1,0,1,1,0,0,20251129,20251229
Tue-Wed-Fri-Sun,0,1,1,0,1,0,1,20251129,20251229
Mon-Wed-Thu-Fri-Sat,1,0,1,1,1,1,0,20251129,20251229
Mon-Tue-Wed-Thu-Fri,1,1,1,1,1,0,0,20251129,20251229
Mon-Tue-Sat-Sun,1,1,0,0,0,1,1,20251129,20251229
Wed-Thu-Fri,0,0,1,1,1,0,0,20251129,20251229
Mon-Tue-Thu-Fri-Sat-Sun,1,1,0,1,1,1,1,20251129,20251229
Fri-Sun,0,0,0,0,1,0,1,20251129,20251229
Mon-Tue-Thu-Fri-Sun,1,1,0,1,1,0,1,20251129,20251229
Mon-Tue,1,1,0,0,0,0,0,20251129,20251229
Mon-Tue-Thu-Sat,1,1,0,1,0,1,0,20251129,20251229
Tue-Fri-Sat,0,1,0,0,1,1,0,20251129,20251229
Fri-Sat-Sun,0,0,0,0,1,1,1,20251129,20251229
Wed-Fri-Sat,0,0,1,0,1,1,0,20251129,20251229
Mon-Wed-Thu-Fri-Sun,1,0,1,1,1,0,1,20251129,20251229
Mon-Tue-Thu,1,1,0,1,0,0,0,20251129,20251229
Wed-Fri-Sun,0,0,1,0,1,0,1,20251129,20251229
Sun,0,0,0,0,0,0,1,20251129,20251229
Tue-Thu,0,1,0,1,0,0,0,20251129,20251229
Fri,0,0,0,0,1,0,0,20251129,20251229
Thu,0,0,0,1,0,0,0,20251129,20251229
Mon-Thu,1,0,0,1,0,0,0,20251129,20251229
Mon-Thu-Fri-Sat,1,0,0,1,1,1,0,20251129,20251229
Mon-Tue-Fri-Sun,1,1,0,0,1,0,1,20251129,20251229
Tue-Wed-Thu-Fri,0,1,1,1,1,0,0,20251129,20251229
Mon-Tue-Wed-Sat-Sun,1,1,1,0,0,1,1,20251129,20251229
Wed-Thu-Sun,0,0,1,1,0,0,1,20251129,20251229
Mon-Tue-Wed-Thu-Sat,1,1,1,1,0,1,0,20251129,20251229
Mon-Wed-Thu-Sat,1,0,1,1,0,1,0,20251129,20251229
Mon,1,0,0,0,0,0,0,20251129,20251229
Tue-Thu-Sun,0,1,0,1,0,0,1,20251129,20251229
Thu-Sun,0,0,0,1,0,0,1,20251129,20251229
Wed-Sun,0,0,1,0,0,0,1,20251129,20251229
Tue-Thu-Sat,0,1,0,1,0,1,0,20251129,20251229
Thu-Sat,0,0,0,1,0,1,0,20251129,20251229
